INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Deutsche Bank,Foreign Banks,4.5,8 days to 14 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,4.5,15 days To 29 days,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days (for single deposit of Rs.1 lakh and above),Less than Rs. 1cr,General,Taxable
DCB Bank,Indian Private Sector Banks,4.5,15 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,4.5,7 days to 14 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Federal Bank,Indian Private Sector Banks,4.5,15 days to 29 days,Less than Rs. 1 cr,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,4.5,30 days to 45 days,less then Rs. 1cr,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,4.5,46 days to 90 days,less then Rs. 1cr,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,4.5,15 days to 29 days,less then Rs. 1cr,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days,less then Rs. 1cr,Senior Citizen,Taxable
IDBI Bank,Public Sector / Nationalized Banks,4.5,31 days to 45 days,less than Rs. 1cr,General,Taxable
IDBI Bank,Public Sector / Nationalized Banks,4.5,31 days to 45 days,less than Rs. 1cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,4.5,7 days to 14 days,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,4.5,15 days to 30 days,Less than Rs. 15 lakh,General,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,4.5,61 days to 90 days,Upto Rs. 1 cr,General,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,4.5,15 days to 29 days,Upto Rs. 25 lakh,Senior Citizen,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,4.5,30 days to 45 days,Upto Rs. 25 lakh,Senior Citizen,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,4.5,46 days to 60 days,Upto Rs. 25 lakh,Senior Citizen,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days (for single deposit of Rs.1 lakh and above),Upto Rs. 25 lakh,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,4.5,31 days to 45 days,Rs. 1 cr to less than Rs. 5 cr,General,Taxable
J&K Bank,Indian Private Sector Banks,4.5,46 days to 90 days,Rs. 1 cr to less than Rs. 5 cr,General,Taxable
Karnataka Bank,Indian Private Sector Banks,4.5,46 days to 90 days,Above Rs. 1 cr and upto 10 crs,General,Taxable
Karnataka Bank,Indian Private Sector Banks,4.5,46 days to 90 days,Rs. 2 cr to upto 10 crs,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,4.5,15 days to 30 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,4.5,7 days to 14 days,Rs. 10 cr and above to Less than Rs. 25 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,4.5,7 days to 14 days,Rs. 25 cr and above,General,Taxable
Kotak Bank,Indian Private Sector Banks,4.5,7 days to 14 days,Rs. 5 cr and above to Less than Rs. 10 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,4.5,15 days to 30 days,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,4.5,7 days to 14 days,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,4.5,15 days to 29 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,4.5,7 days to 14 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,4.5,7 days to 14 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,4.5,15 days to 30 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,4.5,46 days to 90 days,Rs. 1 cr and above upto 10 crs,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,4.5,46 days to 90 days,Rs. 10 cr and above,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.5,1 year,Rs. 1 cr to Rs. 10 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.5,Above 1 years to 2 years,Rs. 1 cr to Rs. 10 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.5,Above 2 years to 5 years,Rs. 1 cr to Rs. 10 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.5,Above 5 years to 10 years,Rs. 1 cr to Rs. 10 cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,4.5,15 days to 30 days,Less than Rs. 1cr,Senior Citizen,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,4.5,31 days to 45 days,Less than Rs. 1cr,Senior Citizen,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.5,211 days to less than 1 year,Above Rs. 10 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.5,211 days to less than 1 year,Rs. 1 cr to 10 crs,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,15 days to 30 days,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,31 days to 45 days,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,46 days to 60 days,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,15 days to 30 days,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,31 days to 45 days,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,46 days to 60 days,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,15 days to 30 days,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,31 days to 45 days,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,46 days to 60 days,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,15 days to 30 days,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,31 days to 45 days,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,46 days to 60 days,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,4.5,211 days less than 1 year,Rs. 1 cr and above upto Rs. 10 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,4.5,10 days to 14 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.5,15 days to 17 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.5,7 days to 9 days,Rs. 1 cr to Less than 2 cr,General,Taxable
South Indian Bank,Indian Private Sector Banks,4.5,7 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,4.5,211 days to less than 1 year,Rs. 1 cr to Rs 5 crs,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,61 days to 90 days,Less than Rs. 1 cr,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,61 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,181 days to 269 days,Rs. 1 cr and above,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,2 years to less than 3 years,Rs. 1 cr and above,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,3 years to less than 5 years,Rs. 1 cr and above,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,5 years and above,Rs. 1 cr and above,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,61 days to 90 days,Rs. 1 cr and above,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,91 days to 180 days,Rs. 1 cr and above,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.5,Above1 years to less than 2 years,Rs. 1 cr and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.5,46 days to 90 days,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.5,46 days to 90 days,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.5,46 days to 90 days,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.5,15 days to 29 days,less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days,less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.5,46 days to 90 days,Rs. 1 cr and above upto Rs. 5 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,4.5,46 days�to 60 days,Less than Rs. 1 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,4.5,61 days to 90 days,Less than Rs. 1 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,4.5,46 days�to 60 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,4.5,61 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,4.5,15 days to 45 days,Less than Rs. 1 cr,General,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,4.5,15 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HSBC,Foreign Banks,4.4,60 days to 89 days,Less than Rs. 1cr,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,4.35,15 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,4.35,15 days to 45 days,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.35,180 days to 210 days,Above Rs. 10 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.35,46 days to 179 days,Above Rs. 10 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.35,180 days to 210 days,Rs. 1 cr to 10 crs,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.35,46 days to 179 days,Rs. 1 cr to 10 crs,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,4.35,180 days to 210 days,Rs. 1 cr and above upto Rs. 10 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,4.35,46 days to 179 days,Rs. 1 cr and above upto Rs. 10 cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,4.35,180 days to 210 days,Rs. 1 cr to Rs 5 crs,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,4.35,46 days to 179 days,Rs. 1 cr to Rs 5 crs,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.3,46 days to 60 days,Rs. 1 cr and above,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.3,61 days to 90 days,Rs. 1 cr and above,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.3,91 days to 120 days,Rs. 1 cr and above,Senior Citizen,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.25,46 days to 90 days,Above Rs. 10 cr to less than Rs. 50 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.25,46 days to 90 days,Above Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.25,46 days to 90 days,Rs. 1 cr to less than Rs. 10 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.25,46 days to 90 days,Rs. 100 cr and Above,General,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,4.25,15 days to 29 days,Less than Rs. 15 lakh,General,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,4.25,7 days to 45 days,Less than Rs. 1 cr,General,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,4.25,7 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,4.25,15 days to 30 days,Less than Rs. 1 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.25,31 days to 45 days,Less than Rs. 1 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.25,180 days to 269 days,Rs. 1 cr and above to less than Rs. 10 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.25,270 days to Less than 1 Year,Rs. 1 cr and above to less than Rs. 10 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.25,180 days to 269 days,Rs. 10 cr and above,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.25,270 days to 363 days,Rs. 10 cr and above,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,1 year,Above Rs. 10 cr to Rs 25 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,271 days and Above and less than 1 year,Above Rs. 10 cr to Rs 25 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,1 year,Above Rs. 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,Above 1 year and upto 2 years,Above Rs. 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,Above 2 year and upto 3 years,Above Rs. 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,Above 3 Years and upto 5 Years,Above Rs. 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,1 year,Above Rs. 25 cr to Rs 50 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,271 days and Above and less than 1 year,Above Rs. 25 cr to Rs 50 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,1 year,Above Rs. 50 cr to Rs 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,331 days to less than 1 years,Above Rs. 50 cr to Rs 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,1 year,Rs. 1 cr to Rs. 10 Cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.25,271 days to less than 1 year,Rs. 1 cr to Rs. 10 Cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.25,46 days to 60 days,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.25,61 days to 90 days,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.25,91 days to 120 days,Rs. 1 cr and above,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,4.25,7 days to 14 days,Less than Rs. 10cr,General,Taxable
HDFC Bank,Indian Private Sector Banks,4.25,15 days to 29 days,Less than Rs. 1 cr,General,Taxable
HDFC Bank,Indian Private Sector Banks,4.25,15 days to 29 days,Rs. 1 cr to up to 5 crs,General,Taxable
HDFC Bank,Indian Private Sector Banks,4.25,30 days to 45 days,Rs. 1 cr to up to 5 crs,General,Taxable
HDFC Bank,Indian Private Sector Banks,4.25,7 days to 14 days,Rs. 1 cr to up to 5 crs,General,Taxable
IDBI Bank,Public Sector / Nationalized Banks,4.25,15 days to 30 days,less than Rs. 1cr,General,Taxable
IDBI Bank,Public Sector / Nationalized Banks,4.25,15 days to 30 days,less than Rs. 1cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,4.25,7 days to 30 days,Rs. 1 cr to less than Rs. 5 cr,General,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,4.25,7 days to 29 days,Less than Rs. 15 lakh,General,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,4.25,7 days to 29 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.25,15 days to 29 days,Less than Rs. 1 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.25,7 days to 14 days,Less than Rs. 1 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.25,180 days to 270 days,Rs. 1 cr to Rs. 10 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.25,271 days to less than 1 year,Rs. 1 cr to Rs. 10 cr,General,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,1 year to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,15 days upto 30 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,151 days upto 187 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,188 days upto 270 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,2 year to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,271 days upto 364 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,3 year to less than 4 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,31 days upto 60 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,4 year to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,61 days upto 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Royal Bank of Scotland,Foreign Banks,4.25,91 days upto 150 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.25,1 year to 455 days,Above Rs. 10 cr,General,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.25,2 years to less than 3 years,Above Rs. 10 cr,General,Taxable
